code,name,industry,ipo_date,status,current_price,ma5,ma10,ma20,ma60,volume_avg_20,price_change_1d,price_change_5d,price_change_20d,price_change_60d,high_52w,low_52w,volatility_20d,score,industry_category
sh.600288,大恒科技,C39计算机、通信和其他电子设备制造业,2000-11-29,1,11.04,11.02,10.681000000000001,10.3565,9.462333333333332,15626453.45,-0.8086,5.243088655862715,14.167528438469489,29.729729729729716,11.81,7.2,1.3750116471372738,100,新一代信息技术
sh.600588,用友网络,I65软件和信息技术服务业,2001-05-18,1,14.33,14.118,13.597999999999999,13.309999999999999,13.459166666666667,55512143.2,0.2799,5.756457564575634,15.564516129032246,0.9866102889358741,20.0,9.58,2.794104029747753,100,新一代信息技术
sh.600602,云赛智联,I65软件和信息技术服务业,1990-12-19,1,23.14,22.43,21.32,20.548,21.041333333333334,43978308.5,3.6738,8.740601503759393,23.7433155080214,3.5346756152125236,30.26,11.98,2.2894576295144895,100,新一代信息技术
sh.600570,恒生电子,I65软件和信息技术服务业,2003-12-16,1,33.68,33.426,33.519,32.8335,28.771666666666665,100799179.0,0.778,-2.4333719582850577,20.242770439128876,29.43889315910837,37.3,23.5,2.887307909541343,100,新一代信息技术
sh.600563,法拉电子,C39计算机、通信和其他电子设备制造业,2002-12-10,1,118.2,114.27799999999999,113.672,111.06799999999998,106.39,2103226.6,-0.3373,5.019991115059974,15.305823822066134,17.565148199721502,140.56,89.13,2.3942395557055822,100,新一代信息技术
sh.600476,湘邮科技,I65软件和信息技术服务业,2003-12-10,1,19.04,19.148000000000003,19.187,18.7865,17.586666666666666,14555176.35,-2.1583,-2.6584867075664653,13.400833829660508,28.822733423545333,22.45,12.6,2.1537936386268473,100,新一代信息技术
sh.600498,烽火通信,C39计算机、通信和其他电子设备制造业,2001-08-23,1,21.79,21.612000000000002,21.369,20.993000000000002,20.912333333333333,17935609.35,-1.0894,1.8224299065420668,11.173469387755098,-0.8192990441511117,29.33,17.06,1.5699777391901555,100,新一代信息技术
sh.600745,闻泰科技,C39计算机、通信和其他电子设备制造业,1996-08-28,1,36.99,35.088,34.606,33.858,33.580666666666666,16498968.65,5.535,7.529069767441876,17.690104995227497,15.956112852664583,50.98,27.52,1.8122699430838838,100,新一代信息技术
sh.600728,佳都科技,I65软件和信息技术服务业,1996-07-16,1,5.75,5.6579999999999995,5.621,5.502000000000001,5.349166666666666,32785717.9,1.7699,1.4109347442680775,12.966601178781922,21.822033898305083,6.42,4.09,1.0618147381649072,100,新一代信息技术
sh.600410,华胜天成,I65软件和信息技术服务业,2004-04-27,1,10.0,9.953999999999999,9.854000000000001,9.632499999999999,9.520666666666667,82667346.0,-2.0568,1.317122593718345,14.547537227949592,26.742712294043102,13.48,5.35,1.685711082467168,100,新一代信息技术
sh.600195,中牧股份,C27医药制造业,1999-01-07,1,7.89,7.818,7.619,7.4545,7.12,16639558.5,-3.8977,4.7808764940239,11.126760563380289,16.371681415929196,8.26,5.94,1.7433319064970176,100,生物医药
sh.600276,恒瑞医药,C27医药制造业,2000-10-18,1,58.76,57.628,56.588,54.465500000000006,53.48316666666667,48507228.4,1.7842,3.2688927943760993,13.523956723338483,19.50376245678258,59.86,42.4,1.7871142195700513,100,生物医药
sh.600267,海正药业,C27医药制造业,2000-07-25,1,12.49,12.406,11.953999999999999,10.716000000000001,9.656666666666666,59687224.7,-1.3428,0.3212851405622663,36.80175246440305,40.17957351290684,13.06,7.57,2.7062043791997676,100,生物医药
