code,name,current_price,pe_ratio,pb_ratio,market_cap,graham_score,buffett_score,lynch_score,total_score,investment_grade
601398,工商银行,7.43,7.87,0.72,2648098490171.0,8,6,4,18,A+ (强烈推荐)
601939,建设银行,9.23,7.24,0.72,2414571520867.0,8,6,5,19,A+ (强烈推荐)
600941,中国移动,109.2,19.26,1.7,2359981746923.0,2,6,4,12,A (推荐)
601288,农业银行,6.15,7.48,0.83,2152395658319.0,8,6,5,19,A+ (强烈推荐)
600519,贵州茅台,1444.9,16.9,8.11,1815080201220.0,1,4,4,9,B+ (值得关注)
601988,中国银行,5.49,8.13,0.69,1768946140859.0,8,6,4,18,A+ (强烈推荐)
601857,中国石油,8.75,8.55,1.05,1601433555908.0,7,6,4,17,A+ (强烈推荐)
300750,宁德时代,293.2,23.94,5.53,1336789783185.0,0,3,3,6,B (一般)
600938,中国海油,26.18,8.51,1.59,1244334195301.0,6,6,4,16,A+ (强烈推荐)
601628,中国人寿,42.02,10.31,2.23,1187682904100.0,2,6,5,13,A (推荐)
600036,招商银行,44.15,7.47,1.09,1113456183284.0,7,6,5,18,A+ (强烈推荐)
601318,中国平安,59.3,9.99,1.17,1079866912195.0,7,6,4,17,A+ (强烈推荐)
002594,比亚迪,111.0,27.64,4.79,1012008929715.0,0,4,2,6,B (一般)
601088,中国神华,37.88,15.75,1.9,752619535895.0,2,6,4,12,A (推荐)
688981,中芯国际,91.7,134.98,4.9,732321926023.0,0,3,0,3,C (谨慎)
600028,中国石化,5.92,13.53,0.87,717771807172.0,7,6,5,18,A+ (强烈推荐)
600900,长江电力,28.64,33.82,3.54,700769755386.0,0,3,1,4,C (谨慎)
601728,中国电信,7.4,19.1,1.49,677152826373.0,3,6,4,13,A (推荐)
601328,交通银行,7.63,6.64,0.61,674215673621.0,8,6,5,19,A+ (强烈推荐)
601658,邮储银行,5.61,6.67,0.7,673733250090.0,8,6,5,19,A+ (强烈推荐)
601138,工业富联,31.2,29.61,4.29,619615388059.0,0,4,2,6,B (一般)
000333,美的集团,71.35,11.02,2.67,547553836653.0,2,6,5,13,A (推荐)
601899,紫金矿业,19.48,12.73,3.74,517731140351.0,2,5,5,12,A (推荐)
601166,兴业银行,22.72,5.05,0.62,480819636578.0,8,6,5,19,A+ (强烈推荐)
000858,五 粮 液,123.52,8.07,3.53,479456220778.0,3,5,4,12,A (推荐)
601998,中信银行,8.15,5.81,0.65,453508072452.0,8,6,5,19,A+ (强烈推荐)
600030,中信证券,29.9,16.93,1.65,443134350187.0,2,6,4,12,A (推荐)
600276,恒瑞医药,63.81,56.5,9.26,423519723960.0,0,2,0,2,D (不推荐)
600000,浦发银行,12.8,5.5,0.58,387426298611.0,8,6,5,19,A+ (强烈推荐)
300059,东方财富,24.18,35.19,4.63,382141630982.0,0,3,0,3,C (谨慎)
601319,中国人保,8.56,7.37,1.36,378557359390.0,7,6,5,18,A+ (强烈推荐)
688235,百济神州-U,245.79,-1001.24,15.02,378481835954.0,0,2,0,2,D (不推荐)
601211,国泰海通,21.12,7.6,1.21,372339447660.0,7,6,4,17,A+ (强烈推荐)
601601,中国太保,38.3,9.57,1.4,368459077727.0,7,6,4,17,A+ (强烈推荐)
688041,海光信息,143.0,164.25,15.99,332380347013.0,0,2,0,2,D (不推荐)
688256,寒武纪-U,701.8,206.49,49.8,293598187203.0,0,2,0,2,D (不推荐)
603259,药明康德,98.69,16.56,4.73,283459115961.0,1,5,4,10,B+ (值得关注)
300760,迈瑞医疗,231.82,26.73,7.76,281068163957.0,0,3,2,5,C (谨慎)
600930,华电新能,6.71,23.52,2.66,274901615676.0,0,5,3,8,B (一般)
002475,立讯精密,37.58,22.39,3.86,272530752524.0,0,4,4,8,B (一般)
601816,京沪高铁,5.47,22.57,1.35,267623466154.0,2,5,3,10,B+ (值得关注)
002415,海康威视,28.6,32.38,3.5,264069472124.0,0,3,1,4,C (谨慎)
000651,格力电器,46.13,10.94,1.88,258392846832.0,4,6,5,15,A+ (强烈推荐)
