symbol,name,price,pe,pb,market_cap,change_pct,earnings_yield_ok,pe_ok,pb_ok,pe_pb_ok,intrinsic_value,safety_margin,safety_margin_ok,graham_score,graham_qualified,reasonable_pe,reasonable_pb,large_cap,mega_cap,stable_earnings,healthy_balance,dcf_value,dcf_undervalued,buffett_score,buffett_qualified,stock_type,peg,peg_attractive,peg_reasonable,small_to_mid_cap,not_overheated,lynch_score,lynch_qualified,total_score,investment_style
603558,XD健盛集,9.91,12.35,1.44,3500045007.0,2.38,True,True,True,True,18.662209369577788,0.4689803439803439,True,5,True,True,True,False,False,True,True,6036565988.558011,True,5,True,fast_grower,0.494,True,True,True,True,5,True,15,Value
603612,索通发展,27.13,12.92,2.42,13513573973.0,3.47,True,True,False,False,48.83639982308713,0.4444717444717445,True,3,False,True,True,True,False,True,True,22278758753.3461,True,6,True,stalwart,0.8613333333333333,True,True,True,True,5,True,14,Quality Growth
601717,中创智领,21.27,7.55,1.73,37975456511.0,4.01,True,True,False,True,65.520454115421,0.6753685503685505,True,4,True,False,True,True,False,True,True,107136963362.59982,True,6,True,slow_grower,0.94375,True,True,False,True,3,True,13,Value
601333,广深铁路,3.3,10.54,0.84,23375672100.0,2.8,True,True,True,True,7.28164814312822,0.5468058968058969,True,5,True,True,True,True,False,True,False,47239661484.17565,True,5,True,slow_grower,1.3175,False,True,False,True,3,True,13,Value
603680,今创集团,13.87,14.79,1.95,10870179298.0,2.51,False,True,False,False,21.810451076982517,0.3640663390663391,True,2,False,True,True,True,False,True,True,15654954680.3073,True,6,True,stalwart,0.986,True,True,True,True,5,True,13,Quality Growth
600741,华域汽车,19.58,10.7,0.98,61730335607.0,2.25,True,True,True,True,42.55839786381843,0.53992628992629,True,5,True,True,True,True,True,True,False,122884792789.15019,True,5,True,slow_grower,1.3375,False,True,False,True,3,True,13,Value
600583,海油工程,5.85,11.78,0.98,25864925580.0,5.79,True,True,True,True,11.54959980596653,0.49348894348894357,True,5,True,True,True,True,False,True,False,46768045853.85954,True,5,True,slow_grower,1.4725,False,True,False,False,2,False,12,Value
603565,中谷物流,10.84,10.62,2.18,22764684037.0,3.53,True,True,False,False,23.73892924401399,0.5433660933660933,True,3,False,True,True,True,False,True,True,45658368747.2942,True,6,True,slow_grower,1.3275,False,True,False,True,3,True,12,Quality Growth
600021,上海电力,15.69,11.58,2.15,44194707790.0,2.48,True,True,False,False,31.511621021465576,0.502088452088452,True,3,False,True,True,True,False,True,True,81291472142.33028,True,6,True,slow_grower,1.4475,False,True,False,True,3,True,12,Quality Growth
600711,盛屯矿业,9.49,13.93,1.8,29329903619.0,9.58,True,True,False,False,15.844241616244489,0.40104422604422607,True,3,False,True,True,True,False,True,True,44847971096.45822,True,6,True,slow_grower,1.74125,False,False,False,False,1,False,10,Quality Growth
601899,紫金矿业,23.88,13.62,4.52,634672465687.0,3.47,True,True,False,False,40.77684078036501,0.41437346437346445,True,3,False,True,False,True,True,True,True,992557855813.4802,True,5,True,slow_grower,1.7025,False,False,False,True,2,False,10,Quality Growth
600489,中金黄金,16.5,14.84,2.83,79980657306.0,3.32,False,True,False,False,25.858683095879865,0.361916461916462,True,2,False,True,True,True,True,True,True,114798007201.94655,True,6,True,slow_grower,1.855,False,False,False,True,2,False,10,Quality Growth
2768,国恩股份,49.5,19.41,2.56,13426875000.0,2.53,False,False,False,False,59.31110620446014,0.1654176904176903,False,0,False,True,True,True,False,True,True,14734408002.590292,True,6,True,stalwart,1.294,False,True,True,True,4,True,10,Quality Growth
920029,开发科技,105.99,18.62,4.3,14720597835.0,2.39,False,False,False,False,132.3858523860672,0.19938574938574938,False,0,False,True,False,True,False,True,True,16839494579.321058,True,5,True,stalwart,1.2413333333333334,False,True,True,True,4,True,9,Quality Growth
2345,潮宏基,15.44,20.71,3.77,13718636196.0,4.61,False,False,False,False,17.33898047871973,0.10952088452088428,False,0,False,True,False,True,False,True,True,14109581141.022888,True,5,True,stalwart,1.3806666666666667,False,True,True,True,4,True,9,Quality Growth
603867,新化股份,30.06,19.56,2.41,5794786109.0,2.24,False,False,False,False,35.741805433829974,0.15896805896805902,False,0,False,True,True,False,False,True,True,6310326653.271384,True,5,True,stalwart,1.3039999999999998,False,True,True,True,4,True,9,Quality Growth
603231,索宝蛋白,20.8,20.44,2.08,3982349384.0,6.18,False,False,False,False,23.666759854626775,0.12113022113022084,False,0,False,True,True,False,False,True,True,4149939343.5872774,True,5,True,fast_grower,0.8176000000000001,True,True,True,False,4,True,9,Quality Growth
300879,大叶股份,39.49,17.76,5.43,7992729915.0,2.65,False,False,False,False,51.71309523809524,0.2363636363636364,False,0,False,True,False,False,False,True,True,9585956579.559555,True,4,True,stalwart,1.1840000000000002,False,True,True,True,4,True,8,Quality Growth
2053,云南能投,15.39,22.77,1.9,14170026451.0,2.67,False,False,False,False,15.719254658385093,0.020945945945945923,False,0,False,True,True,True,False,True,True,13255341206.858992,False,5,True,stalwart,1.518,False,False,True,True,3,True,8,Quality Growth
920112,巴兰仕,46.0,24.32,4.54,3772000000.0,2.31,False,False,False,False,43.98966165413534,-0.045700245700245674,False,0,False,True,False,False,False,True,True,3303629949.120744,False,3,False,fast_grower,0.9728,True,True,True,True,5,True,8,Growth
