code,name,exchange,current_price,pct_change,volume,amount,turnover,roe,net_profit_margin,gross_profit_margin,net_profit,eps_ttm,total_share,liquid_share,current_ratio,quick_ratio,cash_ratio,liability_to_asset,asset_to_equity,cfo_to_or,cfo_to_np,pe_ratio,market_cap,fundamental_score,fundamental_analysis,rating,reason,target_price,stop_loss_price,investment_period,target_deadline
sh.600000,浦发银行,SH,10.29,-1.7192,57783443,602393523.12,0.1969,0.048669,0.274856,,35687000000.0,1.496959,29352177607.0,29352177607.0,,,,0.009224,12.881699,-1.243063,-4.522599,6.873935759095606,3020.3390757602997,58,盈利能力较弱，ROE低于5%; 估值偏低，PE小于10倍; 负债水平较低，财务稳健; 经营现金流为负，需关注资金状况,谨慎,基本面偏弱，投资需谨慎,9.261,8.7465,短期（3-6个月）,2025-12-31
sh.600004,白云机场,SH,9.6,-1.74,19466226,188431036.3,0.8225,0.037446,0.131564,0.270551,697351127.95,0.353136,2366718283.0,2366718283.0,0.947253,0.927993,0.708458,0.003211,1.473053,0.525054,3.990864,27.184993883376375,227.204955168,63,盈利能力较弱，ROE低于5%; 估值偏高，PE在20-30倍之间; 短期偿债能力存在风险; 负债水平较低，财务稳健; 经营现金流充裕,中性,基本面一般，可适度关注,10.08,8.16,中期（6个月-1年）,2025-12-31
sh.600006,东风股份,SH,7.37,-5.3915,56874166,428986315.77,2.8437,-0.013943,-0.014261,0.030254,-113781148.41,0.024046,2000000000.0,2000000000.0,1.634962,1.377268,0.563549,0.004999,1.999638,-0.289965,,306.49588289112535,147.4,31,公司亏损，ROE为负; 估值过高，PE超过30倍; 短期偿债能力基本安全; 负债水平较低，财务稳健; 经营现金流为负，需关注资金状况,不推荐,基本面较差，不建议投资,6.633,6.2645,短期（3-6个月）,2025-12-31
sh.600007,中国国贸,SH,24.46,1.0326,3018590,73803272.2,0.2997,0.106608,0.345444,0.605136,1019214071.0,1.266309,1007282534.0,1007282534.0,2.51183,2.491706,2.31932,0.002235,1.287841,0.50655,1.466374,19.315980538715277,246.38130781639998,91,盈利能力良好，ROE在10-15%之间; 估值合理，PE在10-20倍之间; 短期偿债能力强; 负债水平较低，财务稳健; 经营现金流充裕,强烈推荐,基本面优秀，财务指标表现突出,29.352,20.791,中长期（1-3年）,2025-12-31
sh.600008,首创环保,SH,3.28,-2.0896,95928810,319001735.7,1.3068,0.107333,0.266368,0.354006,3693440052.57,0.487802,7340590677.0,7340590677.0,1.007768,0.96193,0.168012,0.006372,2.756393,0.141145,0.529887,6.724039671834063,240.77137420559998,78,盈利能力良好，ROE在10-15%之间; 估值偏低，PE小于10倍; 短期偿债能力基本安全; 负债水平较低，财务稳健; 经营现金流为正,推荐,基本面良好，具有投资价值,3.9359999999999995,2.788,中长期（1-3年）,2025-12-31
sh.600009,上海机场,SH,34.15,-1.896,10929500,376797268.17,0.5696,0.029553,0.15566,0.225601,1430649327.85,0.658583,2488481340.0,1926958448.0,1.98156,1.975985,1.661267,0.003825,1.619418,0.413858,2.658733,51.853752678098274,849.81637761,67,盈利能力较弱，ROE低于5%; 估值过高，PE超过30倍; 短期偿债能力基本安全; 负债水平较低，财务稳健; 经营现金流充裕,中性,基本面一般，可适度关注,35.8575,29.027499999999996,中期（6个月-1年）,2025-12-31
sh.600010,包钢股份,SH,1.86,-2.1053,317389360,597087359.8,1.0077,-0.010009,-0.013944,0.078771,-695344008.22,-0.010485,45404942248.0,31497121187.0,0.577976,0.333744,0.129521,0.00603,2.519015,0.018001,,,844.5319258128,31,公司亏损，ROE为负; 短期偿债能力存在风险; 负债水平较低，财务稳健; 经营现金流为正,不推荐,基本面较差，不建议投资,,1.581,短期（3-6个月）,2025-12-31
sh.600011,华能国际,SH,6.77,-1.0234,40338631,274888510.89,0.3668,0.077178,0.072432,0.160256,13356170159.0,0.400995,15698093359.0,10997709919.0,0.630835,0.569532,0.175834,0.006434,2.804055,0.233155,3.218946,16.883003528722302,1062.7609204043,71,盈利能力一般，ROE在5-10%之间; 估值合理，PE在10-20倍之间; 短期偿债能力存在风险; 负债水平较低，财务稳健; 经营现金流充裕,推荐,基本面良好，具有投资价值,8.123999999999999,5.754499999999999,中长期（1-3年）,2025-12-31
sh.600012,皖通高速,SH,17.65,2.676,6935869,121592189.88,0.595,0.095627,0.245967,0.355954,1240523047.72,0.922611,1658610000.0,1165600000.0,2.025775,2.024117,1.841358,0.003687,1.583931,0.418112,1.699868,19.13048944788215,292.74466499999994,86,盈利能力一般，ROE在5-10%之间; 估值合理，PE在10-20倍之间; 短期偿债能力强; 负债水平较低，财务稳健; 经营现金流充裕,强烈推荐,基本面优秀，财务指标表现突出,21.179999999999996,15.002499999999998,中长期（1-3年）,2025-12-31
sh.600015,华夏银行,SH,8.01,-1.1111,55653015,450588153.87,0.3617,0.055229,0.26572,,18902000000.0,1.691431,15914928468.0,15387223983.0,,,,0.009182,12.230049,-0.104745,-0.394191,4.73563509241583,1274.7857702868,58,盈利能力一般，ROE在5-10%之间; 估值偏低，PE小于10倍; 负债水平较低，财务稳健; 经营现金流为负，需关注资金状况,谨慎,基本面偏弱，投资需谨慎,7.209,6.8084999999999996,短期（3-6个月）,2025-12-31
sh.600016,民生银行,SH,4.13,-1.432,308461404,1294276162.66,0.8698,0.048487,0.302144,,30716000000.0,0.747606,43782418502.0,35462123213.0,,,,0.00916,11.911096,-1.914224,-6.33546,5.524300233010436,1808.2138841326,58,盈利能力较弱，ROE低于5%; 估值偏低，PE小于10倍; 负债水平较低，财务稳健; 经营现金流为负，需关注资金状况,谨慎,基本面偏弱，投资需谨慎,3.717,3.5105,短期（3-6个月）,2025-12-31
sh.600017,日照港,SH,3.2,-1.5385,30588200,99158985.0,0.9945,0.046964,0.116866,0.253642,733425240.52,0.192873,3075653888.0,3075653888.0,0.364229,0.34297,0.160603,0.005956,2.472853,0.301492,2.579797,16.5912284249221,98.420924416,65,盈利能力较弱，ROE低于5%; 估值合理，PE在10-20倍之间; 短期偿债能力存在风险; 负债水平较低，财务稳健; 经营现金流充裕,中性,基本面一般，可适度关注,3.3600000000000003,2.72,中期（6个月-1年）,2025-12-31
