代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,总市值_亿
688520,神州细胞,85.41,16.46,12.07,201686.0,1629556429.0,17.41,87.97,75.2,75.2,73.34,2.7,4.53,149.12,-93.99,38036123333.0,38036123333.0,380.36123333
688091,上海谊众,60.85,10.2,5.63,163860.0,972645366.0,8.75,61.83,57.0,58.0,55.22,3.2,7.93,221.66,8.84,12577916494.0,12577916494.0,125.77916494
300872,天阳科技,22.81,10.19,2.11,1218251.0,2751065550.57,15.94,24.11,20.81,21.61,20.7,2.01,29.89,105.52,3.11,10803900251.0,9296629365.0,108.03900251
600267,海正药业,10.65,10.02,0.97,1104853.0,1160700172.0,10.02,10.65,9.68,9.68,9.68,5.43,9.22,16.43,1.54,12767733287.0,12760712275.0,127.67733287
2020,京新药业,14.93,10.02,1.36,810697.0,1182135466.58,9.58,14.93,13.63,13.69,13.57,5.25,11.2,19.68,2.38,12855165060.0,10808847242.0,128.5516506
601003,柳钢股份,5.16,10.02,0.47,1142132.0,581099611.0,7.68,5.16,4.8,4.8,4.69,1.51,4.46,12.69,1.53,13224012912.0,13224012912.0,132.24012912
2987,京北方,23.3,10.01,2.12,1278902.0,2842467901.91,9.44,23.3,21.3,22.52,21.18,0.79,15.16,108.15,7.47,20217123666.0,19652259763.0,202.17123666
2755,奥赛康,18.04,10.0,1.64,263047.0,461270127.77,10.49,18.04,16.32,16.32,16.4,2.7,2.83,76.48,5.52,16744012732.0,16743854431.0,167.44012732
600645,中源协和,25.87,9.99,2.35,357226.0,914197585.0,5.95,25.87,24.47,24.94,23.52,3.51,7.64,107.97,3.34,12105837784.0,12101214169.0,121.05837784
2913,奥士康,34.79,9.99,3.16,135143.0,458477319.94,9.99,34.79,31.63,31.63,31.63,2.35,5.09,24.58,2.57,11040971934.0,9228704126.0,110.40971934
600475,华光环能,12.57,9.97,1.14,601548.0,729840105.0,10.85,12.57,11.33,11.43,11.43,5.26,6.38,23.28,1.34,12016489214.0,11852073614.0,120.16489214
600744,华银电力,6.09,9.93,0.55,2105353.0,1250007576.0,8.66,6.09,5.61,5.75,5.54,1.11,10.37,40.86,10.83,12369546829.0,12369546829.0,123.69546829
2558,巨人网络,25.14,9.07,2.09,1039856.0,2572335653.36,8.46,25.36,23.41,23.65,23.05,1.65,5.37,34.96,3.82,48639630361.0,48639630361.0,486.39630361
301526,国际复材,4.14,8.09,0.31,2397500.0,1014153649.46,16.71,4.58,3.94,3.96,3.83,3.76,17.07,74.09,1.95,15611435119.0,5814186701.0,156.11435119
603228,景旺电子,46.58,7.87,3.4,595496.0,2747120766.0,9.01,47.5,43.61,44.09,43.18,0.99,6.45,33.62,4.02,43677746927.0,43028091009.0,436.77746927
601718,际华集团,4.11,7.59,0.29,6077925.0,2501148549.0,10.47,4.2,3.8,3.8,3.82,1.73,13.84,610.11,1.43,18049596850.0,18049596850.0,180.4959685
2130,沃尔核材,24.31,7.57,1.71,2665406.0,6489032785.64,9.51,24.86,22.71,22.8,22.6,3.02,21.34,30.58,5.48,30628134042.0,30366813503.0,306.28134042
300529,健帆生物,23.19,7.51,1.62,312012.0,714955338.7,9.32,23.6,21.59,21.62,21.57,7.17,6.1,24.52,6.63,18519656327.0,11863678899.0,185.19656327
2015,协鑫能科,13.8,7.23,0.93,2511971.0,3471989788.01,10.18,14.16,12.85,13.02,12.87,1.46,15.47,22.08,1.89,22401879673.0,22401879673.0,224.01879673
601519,大智慧,11.1,6.83,0.71,2599597.0,2850838623.0,11.93,11.43,10.19,10.4,10.39,2.4,13.07,2321.1,15.48,22079676000.0,22079676000.0,220.79676
688630,芯碁微装,83.75,6.61,5.19,86638.0,726391271.0,8.66,86.15,79.35,79.35,78.56,2.09,6.58,53.18,5.34,11033284965.0,11033284965.0,110.33284965
603881,数据港,25.64,6.57,1.58,972308.0,2535756232.0,9.81,26.47,24.11,24.2,24.06,4.91,13.53,104.52,5.68,18419186254.0,18419186254.0,184.19186254
2463,沪电股份,47.3,6.51,2.89,1011468.0,4813192873.96,4.32,48.51,46.59,46.7,44.41,1.46,5.26,29.83,7.78,90976278510.0,90917302930.0,909.7627851
