code,name,sector,price,pct_change_today,pe,total_mv_billion,target_price,target_return_pct,stop_loss_price,investment_period,target_date,competitors
300750,宁德时代,新能源,413.0,3.12,26.11,1.88,650.76,57.57,351.05,长期（2-3年）,2028年3月,宁德时代、比亚迪、隆基绿能、通威股份
300274,阳光电源,新能源,173.6,5.15,23.5,0.36,259.38,49.41,147.56,长期（2-3年）,2028年3月,宁德时代、比亚迪、隆基绿能、通威股份
600388,龙净环保,绿色环保,18.02,2.1,20.58,0.02,24.07,33.59,15.32,中期（1-2年）,2027年6月,光大环境、中国天楹、瀚蓝环境、伟明环保
603568,伟明环保,绿色环保,26.16,0.35,16.4,0.04,38.9,48.69,22.24,中期（1-2年）,2027年6月,光大环境、中国天楹、瀚蓝环境、伟明环保
603259,药明康德,生物医药,90.9,-0.74,18.09,0.27,116.06,27.68,77.27,短期（6-12个月）,2026年12月,恒瑞医药、复星医药、科伦药业、华兰生物
000538,云南白药,生物医药,56.74,0.02,19.47,0.1,71.06,25.23,48.23,短期（6-12个月）,2026年12月,恒瑞医药、复星医药、科伦药业、华兰生物
688256,寒武纪,人工智能,1025.0,-1.16,209.9,0.43,1567.31,52.91,871.25,长期（2-3年）,2028年3月,科大讯飞、海康威视、旷视科技、商汤科技
002415,海康威视,人工智能,31.3,0.16,20.22,0.29,48.5,54.95,26.61,长期（2-3年）,2028年3月,科大讯飞、海康威视、旷视科技、商汤科技
002371,北方华创,集成电路,468.72,1.54,54.07,0.34,686.98,46.57,398.41,中期（1-2年）,2027年6月,中芯国际、华虹半导体、北方华创、中微公司
002916,深南电路,集成电路,249.68,-0.12,51.92,0.17,346.61,38.82,212.23,中期（1-2年）,2027年6月,中芯国际、华虹半导体、北方华创、中微公司
603816,顾家家居,数字经济,34.85,2.83,17.93,0.03,46.14,32.39,29.62,短期（6-12个月）,2026年12月,用友网络、金蝶国际、浪潮信息、东软集团
600588,用友网络,数字经济,12.4,-3.43,-21.14,0.04,15.37,23.98,10.54,短期（6-12个月）,2026年12月,用友网络、金蝶国际、浪潮信息、东软集团
