代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,市值等级,格雷厄姆评分,巴菲特评分,林奇评分,估算PEG,综合评分
2120,韵达股份,7.94,7.88,0.58,2300221.0,1820140645.68,9.78,8.1,7.38,7.4,7.36,4.94,8.17,17.92,1.15,23019611182.0,22352084163.0,大盘股,2,3,0,3.211264000000001,5
2468,申通快递,15.14,10.03,1.38,538414.0,794596491.74,8.79,15.14,13.93,13.93,13.76,1.53,3.61,24.55,2.38,23176344793.0,22589571247.0,大盘股,0,3,0,6.027025,3
600486,XD扬农化,68.15,7.51,4.76,101726.0,687304183.0,8.76,69.44,63.89,63.95,63.39,3.32,2.52,15.88,2.58,27627933945.0,27531826770.0,大盘股,0,3,0,2.521744,3
3023,彩虹集团,27.41,9.99,2.49,260124.0,706294677.58,5.66,27.41,26.0,27.41,24.92,5.48,24.76,23.17,1.88,2887413256.0,2880032949.0,小盘股,0,2,0,5.368489,2
605088,冠盛股份,42.37,9.99,3.85,184862.0,766805071.0,9.99,42.37,38.52,38.52,38.52,2.51,9.83,24.12,3.01,8101207555.0,7969714802.0,中盘股,0,2,0,5.817744,2
300759,康龙化成,30.0,7.33,2.05,942838.0,2822712179.31,12.38,31.31,27.85,28.0,27.95,1.92,6.64,43.64,3.88,53345865750.0,42581538390.0,大盘股,0,2,0,19.044496,2
688029,南微医学,87.02,11.76,9.16,100972.0,876218546.0,14.03,90.45,79.53,79.53,77.86,3.87,5.38,25.39,4.29,16346482662.0,16346482662.0,中盘股,0,2,0,6.446521000000001,2
600895,张江高科,30.58,10.0,2.78,1325228.0,3885475786.0,10.79,30.58,27.58,27.96,27.8,1.99,8.56,40.21,3.54,47358926439.0,47358926439.0,大盘股,0,2,0,16.168441,2
2942,新农股份,19.25,10.0,1.75,52876.0,99601200.8,10.46,19.25,17.42,17.5,17.5,3.3,3.85,17.98,2.58,3000265153.0,2641269265.0,小盘股,0,2,0,3.2328040000000002,2
3006,百亚股份,29.21,10.02,2.66,106465.0,295704988.88,10.85,29.21,26.33,26.54,26.55,1.83,2.48,24.02,9.3,12550011946.0,12518616308.0,中盘股,0,2,0,5.769604,2
600835,上海机电,26.36,10.02,2.4,446402.0,1118376232.0,10.93,26.36,23.74,24.42,23.96,2.26,5.54,33.11,1.97,26959408159.0,21259453348.0,大盘股,0,2,0,10.962721,2
2986,宇新股份,12.55,9.99,1.14,338919.0,419374040.85,10.34,12.55,11.37,11.41,11.41,6.65,11.22,34.35,1.21,4812926908.0,3789361960.0,小盘股,1,1,0,11.799225,2
605259,绿田机械,26.07,10.0,2.37,114901.0,286292701.0,10.0,26.07,23.7,23.99,23.7,1.13,6.66,19.58,2.72,4496553600.0,4496553600.0,小盘股,0,2,0,3.8337639999999995,2
301283,聚胶股份,40.14,7.7,2.87,49914.0,202294869.03,14.49,42.5,37.1,37.23,37.27,3.04,10.88,22.72,2.13,3227971375.0,1841445621.0,小盘股,0,2,0,5.1619839999999995,2
688230,芯导科技,62.3,13.33,7.33,49249.0,291541415.0,19.36,65.0,54.36,55.03,54.97,3.18,4.19,76.09,3.34,7326480000.0,7326480000.0,中盘股,0,1,0,57.89688100000001,1
688325,赛微微电,54.74,12.22,5.96,61187.0,311591490.0,17.08,55.0,46.67,48.7,48.78,6.01,11.36,75.52,2.86,4715249681.0,2947361222.0,小盘股,0,1,0,57.03270399999999,1
301345,涛涛车业,161.15,12.69,18.15,51318.0,819620245.67,17.39,166.98,142.11,144.0,143.0,2.02,17.89,50.77,5.74,17506005062.0,4622384862.0,中盘股,0,1,0,25.775929000000005,1
603579,荣泰健康,29.77,10.01,2.71,112397.0,322588566.0,10.61,29.77,26.9,27.04,27.06,2.59,6.34,30.05,2.68,5281134322.0,5281134322.0,中盘股,0,1,0,9.030025,1
2298,中电鑫龙,7.58,10.01,0.69,758133.0,565753736.67,6.68,7.58,7.12,7.12,6.89,1.21,11.6,33.22,2.72,5610040630.0,4954783853.0,中盘股,0,1,0,11.035684,1
603109,神驰机电,35.6,7.91,2.61,263059.0,925588134.0,9.12,36.29,33.28,33.58,32.99,1.67,12.6,26.72,3.85,7435001616.0,7435001616.0,中盘股,0,1,0,7.139583999999999,1
