代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,市值等级,格雷厄姆评分,巴菲特评分,林奇评分,估算PEG,综合评分
688230,芯导科技,62.3,13.33,7.33,49249.0,291541415.0,19.36,65.0,54.36,55.03,54.97,3.18,4.19,76.09,3.34,7326480000.0,7326480000.0,中盘股,0,1,0,57.89688100000001,1
301345,涛涛车业,161.15,12.69,18.15,51318.0,819620245.67,17.39,166.98,142.11,144.0,143.0,2.02,17.89,50.77,5.74,17506005062.0,4622384862.0,中盘股,0,1,0,25.775929000000005,1
688325,赛微微电,54.74,12.22,5.96,61187.0,311591490.0,17.08,55.0,46.67,48.7,48.78,6.01,11.36,75.52,2.86,4715249681.0,2947361222.0,小盘股,0,1,0,57.03270399999999,1
688029,南微医学,87.02,11.76,9.16,100972.0,876218546.0,14.03,90.45,79.53,79.53,77.86,3.87,5.38,25.39,4.29,16346482662.0,16346482662.0,中盘股,0,2,0,6.446521000000001,2
603725,天安新材,9.42,10.05,0.86,201569.0,187238837.0,10.16,9.42,8.55,8.55,8.56,3.0,7.03,47.32,3.85,2871759346.0,2700315346.0,小盘股,0,1,0,22.391824,1
2468,申通快递,15.14,10.03,1.38,538414.0,794596491.74,8.79,15.14,13.93,13.93,13.76,1.53,3.61,24.55,2.38,23176344793.0,22589571247.0,大盘股,0,3,0,6.027025,3
3006,百亚股份,29.21,10.02,2.66,106465.0,295704988.88,10.85,29.21,26.33,26.54,26.55,1.83,2.48,24.02,9.3,12550011946.0,12518616308.0,中盘股,0,2,0,5.769604,2
600835,上海机电,26.36,10.02,2.4,446402.0,1118376232.0,10.93,26.36,23.74,24.42,23.96,2.26,5.54,33.11,1.97,26959408159.0,21259453348.0,大盘股,0,2,0,10.962721,2
2843,泰嘉股份,22.61,10.02,2.06,277764.0,601538039.0,10.02,22.61,20.55,20.58,20.55,3.66,11.08,95.06,4.15,5691786277.0,5670419827.0,中盘股,0,1,0,90.364036,1
2298,中电鑫龙,7.58,10.01,0.69,758133.0,565753736.67,6.68,7.58,7.12,7.12,6.89,1.21,11.6,33.22,2.72,5610040630.0,4954783853.0,中盘股,0,1,0,11.035684,1
